"tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-meanFreq()" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()"
"LAYING.1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"STANDING.1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.1" " 0.265696921" "-0.018298173" "-0.107845735" " 0.744867412" "-0.082556258" " 0.072339870" " 0.077093050" " 0.016590844" "-0.009107587" "-0.020876406" "-0.088072273" " 0.086264167" "-0.097112020" "-0.041716481" "-0.047139399" "-0.453632944" "-0.453632944" "-0.545431612" "-0.475404786" "-0.639517433" "-0.531895161" "-0.406435449" "-0.596411165" "-0.180558714" " 0.057629165" " 0.058369278" "-0.547348892" "-0.507343618" "-0.695305114" "-0.048800597" "-0.215279158" "-0.096449638" "-0.623219182" "-0.505309434" "-0.553529065" "-0.032032410" "-0.090151724" "-0.018006394" "-0.478448523" " 0.142062163" "-0.499075766" " 0.200055180" "-0.535002770" " 0.064930944" "-0.645970655" " 0.198031580" "-0.545795331" "-0.367716218" "-0.502645747" "-0.959859436" "-0.951150627" "-0.925817591" "-0.524721923" "-0.470412404" "-0.717322275" "-0.686555715" "-0.450979810" "-0.597496137" "-0.637812687" "-0.634472245" "-0.664591978" "-0.497096402" "-0.497096402" "-0.515922168" "-0.499839594" "-0.652050771" "-0.553060617" "-0.390150940" "-0.498583092" "-0.543979776" "-0.466251677" "-0.737861933" "-0.708263421" "-0.429825833" "-0.650476162" "-0.589710231" "-0.541823080" "-0.566576670" "-0.685811263"
"WALKING_DOWNSTAIRS.1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_UPSTAIRS.1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"LAYING.2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"STANDING.2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.2" " 0.2731131158" "-0.0191323183" "-0.1156499582" " 0.6607828667" "-0.1472198869" " 0.1348653351" " 0.0785353157" " 0.0070877125" " 0.0007557607" "-0.0517030658" "-0.0568420187" " 0.0872599422" "-0.0875587492" "-0.0433986835" "-0.0557541828" "-0.5352818005" "-0.5352818005" "-0.5877774454" "-0.6147710549" "-0.7465595390" "-0.5737709114" "-0.4325665813" "-0.6300812221" "-0.1067634189" " 0.1057341760" " 0.0872105864" "-0.5616820496" "-0.5089037990" "-0.7157453304" " 0.0868000536" "-0.1397765954" "-0.0942651868" "-0.6387176946" "-0.7220689786" "-0.6015948897" "-0.0057650065" "-0.0702155009" " 0.0513627291" "-0.5145698613" " 0.1921997382" "-0.5097464330" " 0.1930668211" "-0.6997429452" " 0.0471324812" "-0.7516150784" " 0.1246120686" "-0.6055864972" "-0.4289629866" "-0.5893600622" "-0.9630155082" "-0.9600335602" "-0.9453653839" "-0.5578096031" "-0.4918758898" "-0.7418853883" "-0.7106489278" "-0.7229436743" "-0.6348889278" "-0.6716791033" "-0.7835954667" "-0.6746119333" "-0.5528125456" "-0.5528125456" "-0.5121152784" "-0.6805848879" "-0.7400887337" "-0.6197881028" "-0.4647238629" "-0.6006786148" "-0.5951056129" "-0.5091475437" "-0.7670870155" "-0.7345885402" "-0.7271677410" "-0.6831144945" "-0.6466623085" "-0.5188007977" "-0.7253103377" "-0.7441949814"
